37,260
38,780
39,780
40,500
41,740
42,780
43,740
45,740
46,0
47,740
48,0
50,740
51,390
52,780
53,0
54,740
55,740
56,780
58,740
59,740
60,740
61,740
62,780
63,780
64,740
65,740
66,740
67,740
68,780
69,740
70,390
72,740
73,740
77,780
78,740
80,740
81,740
82,740
83,780
85,780
86,740
87,740
88,740
89,780
90,390
91,780
92,740
93,740
94,740
95,740
98,740
99,780
100,740
101,780
102,780
104,740
106,740
109,390
110,740
112,740
113,740
114,740
115,740
116,780
118,780
119,740
123,740
124,780
125,740
126,740
127,740
129,740
130,780
131,0
132,780
133,780
134,780
135,740
136,780
138,780
139,740
141,740
143,780
144,780
145,740
147,740
148,740
149,390
151,780
152,780
153,780
154,740
156,0
159,780
160,780
161,740
162,520
163,780
164,780
190,500
191,0
192,500
196,0
197,0
198,0
199,0
200,0
201,0
202,0
226,780
228,780
229,780
235,780
230,780
231,0
233,780
232,780
238,780
239,780
240,780
241,780
580,640
582,690
583,640
585,640
586,540
587,320
588,640
589,640
590,640
591,590
592,640
593,640
594,640
595,640
596,690
600,640
601,640
602,640
603,640
605,690
608,0
609,540
610,540
612,345
613,540
614,270
617,540
622,540
623,690
624,690
626,690
628,690
629,690
634,607
635,590
636,640
637,540
638,459
639,540
640,540
641,540
642,540
643,540
644,540
645,540
646,640
648,290
649,540
650,540
651,540
652,640
653,540
655,540
657,450
658,540
659,540
662,490
664,540
665,540
667,540
668,540
669,590
518,690
519,690
521,690
522,690
523,690
524,590
525,690
526,630
527,690
528,690
529,390
530,690
531,690
532,690
533,690
535,690
536,690
537,690
538,587
540,690
541,690
542,690
543,690
544,690
545,690
546,690
548,690
550,690
551,790
552,690
554,690
555,690
556,345
557,690
558,690
560,690
561,690
562,690
563,690
566,0
567,640
568,640
569,640
570,640
571,640
573,640
574,640
575,640
576,640
577,620
578,640
579,640
937,15000
938,15000
939,15000
940,15000
941,15000
942,15000
943,15000
945,15000
946,15000
947,15000
949,15000
950,15000
951,15000
952,15000
953,15000
954,15000
955,15000
956,15000
957,15000
958,15000
959,15000
961,15000
796,700
